DATE,CODE INSEE,REGION,PRODUCTION,POMPAGE,ECHANGE,CONSOMMATION
2016-11,75,Nouvelle-Aquitaine,4290992,,302424,3988568
2017-01,24,Centre-Val de Loire,8841611,,6464800,2376811
2017-01,32,Hauts-de-France,4918766,,-777215,5695981
2017-01,11,Ile-de-France,944762,,-7949894,8894656
2017-02,84,Auvergne-Rhône-Alpes,9723821,332412,3304776,6086633
2017-03,84,Auvergne-Rhône-Alpes,11154637,365258,4819887,5969492
2017-03,27,Bourgogne-Franche-Comté,330070,2415,-1604078,1931732
2017-03,53,Bretagne,421467,3451,-1633034,2051051
2017-03,24,Centre-Val de Loire,8668127,,6943946,1724181
2017-03,44,Grand-Est,8133755,64597,3945287,4123871
2017-03,32,Hauts-de-France,4547238,,-16980,4564218
2017-03,75,Nouvelle-Aquitaine,5253061,,1352067,3900994
2017-03,93,Provence-Alpes-Côte d'Azur,1887609,6264,-1594898,3476243
2017-04,32,Hauts-de-France,3326193,,-697637,4023830
2017-05,27,Bourgogne-Franche-Comté,198568,6427,-1440808,1632949
2017-05,94,Corse,102827,,-50690,153517
2017-05,44,Grand-Est,8201315,61690,4659199,3480425
2017-05,32,Hauts-de-France,3528544,,-347706,3876250
2017-05,75,Nouvelle-Aquitaine,4633706,,1548219,3085488
2017-06,84,Auvergne-Rhône-Alpes,8083735,303437,3001312,4778986
2017-06,27,Bourgogne-Franche-Comté,172562,5573,-1344667,1511656
2017-06,28,Normandie,3654840,,1764754,1890086
2017-06,52,Pays de la Loire,327731,,-1524265,1851996
2017-07,93,Provence-Alpes-Côte d'Azur,1504815,4541,-1709789,3210063
2017-08,28,Normandie,4300990,,2469851,1831139
2017-08,52,Pays de la Loire,237912,,-1533263,1771175
2017-09,24,Centre-Val de Loire,4608204,,3370871,1237333
2017-09,32,Hauts-de-France,4203602,,427654,3775949
2017-09,76,Occitanie,1854557,95158,-801322,2560721
2017-09,52,Pays de la Loire,493605,,-1374408,1868013
2017-09,93,Provence-Alpes-Côte d'Azur,1319696,5084,-1565915,2880527
2017-10,53,Bretagne,202793,4582,-1490173,1688384
2017-11,32,Hauts-de-France,4721849,,-26923,4748772
2017-11,28,Normandie,5725514,,3123109,2602405
2017-12,24,Centre-Val de Loire,7317116,,5226103,2091013
