,annee,consommation,consommation_normale,energie,epci,nom_epci,secteur
228,2005,0.0,0.0,BOIS,200059228,CA Grand Paris Sud Seine Essonne Sénart,AGR
229,2005,0.0,0.0,GN,200059228,CA Grand Paris Sud Seine Essonne Sénart,AGR
230,2005,662962.4999999999,662962.4999999999,ELEC,200059228,CA Grand Paris Sud Seine Essonne Sénart,IND
231,2005,20756.31,20756.31,PP_CMS,200059228,CA Grand Paris Sud Seine Essonne Sénart,IND
232,2005,3080.4,3080.4,URB,200059228,CA Grand Paris Sud Seine Essonne Sénart,IND
233,2005,150.03,150.03,BOIS,200059228,CA Grand Paris Sud Seine Essonne Sénart,IND
234,2005,955294.2800000001,955294.2800000001,GN,200059228,CA Grand Paris Sud Seine Essonne Sénart,IND
235,2005,730660.6600000001,736910.9299999999,ELEC,200059228,CA Grand Paris Sud Seine Essonne Sénart,RES
236,2005,178450.4,183012.59999999995,PP_CMS,200059228,CA Grand Paris Sud Seine Essonne Sénart,RES
237,2005,310797.52999999997,318929.84,URB,200059228,CA Grand Paris Sud Seine Essonne Sénart,RES
238,2005,129793.50000000001,134128.74000000002,BOIS,200059228,CA Grand Paris Sud Seine Essonne Sénart,RES
239,2005,1179700.47,1210625.5399999998,GN,200059228,CA Grand Paris Sud Seine Essonne Sénart,RES
240,2005,810890.9400000001,814719.9699999999,ELEC,200059228,CA Grand Paris Sud Seine Essonne Sénart,TER
241,2005,119034.09,122038.82000000002,PP_CMS,200059228,CA Grand Paris Sud Seine Essonne Sénart,TER
242,2005,121863.72000000002,125281.31000000001,URB,200059228,CA Grand Paris Sud Seine Essonne Sénart,TER
243,2005,0.0,0.0,BOIS,200059228,CA Grand Paris Sud Seine Essonne Sénart,TER
244,2005,430440.6,441896.67000000004,GN,200059228,CA Grand Paris Sud Seine Essonne Sénart,TER
245,2005,0.0,0.0,ELEC,200059228,CA Grand Paris Sud Seine Essonne Sénart,TRAF
246,2005,2725167.8099999996,2725167.8099999996,PP_CMS,200059228,CA Grand Paris Sud Seine Essonne Sénart,TRAF
247,2005,0.0,0.0,URB,200059228,CA Grand Paris Sud Seine Essonne Sénart,TRAF
248,2005,0.0,0.0,BOIS,200059228,CA Grand Paris Sud Seine Essonne Sénart,TRAF
249,2005,0.0,0.0,GN,200059228,CA Grand Paris Sud Seine Essonne Sénart,TRAF
250,2005,3695.6,3695.6,ELEC,200070779,CC Brie des Rivières et Châteaux,AGR
251,2005,26624.039999999994,26624.039999999994,PP_CMS,200070779,CC Brie des Rivières et Châteaux,AGR
252,2005,0.0,0.0,URB,200070779,CC Brie des Rivières et Châteaux,AGR
253,2005,0.0,0.0,BOIS,200070779,CC Brie des Rivières et Châteaux,AGR
254,2005,2158.97,2158.97,GN,200070779,CC Brie des Rivières et Châteaux,AGR
255,2005,62211.86,62211.86,ELEC,200070779,CC Brie des Rivières et Châteaux,IND
256,2005,2868.8,2868.8,PP_CMS,200070779,CC Brie des Rivières et Châteaux,IND
257,2005,0.0,0.0,URB,200070779,CC Brie des Rivières et Châteaux,IND
258,2005,0.0,0.0,BOIS,200070779,CC Brie des Rivières et Châteaux,IND
259,2005,25523.410000000003,25523.410000000003,GN,200070779,CC Brie des Rivières et Châteaux,IND
260,2005,127565.04999999997,128901.67999999998,ELEC,200070779,CC Brie des Rivières et Châteaux,RES
261,2005,75085.87999999998,77289.07,PP_CMS,200070779,CC Brie des Rivières et Châteaux,RES
262,2005,0.0,0.0,URB,200070779,CC Brie des Rivières et Châteaux,RES
263,2005,37693.32000000001,38952.25,BOIS,200070779,CC Brie des Rivières et Châteaux,RES
264,2005,131455.30000000002,134967.16,GN,200070779,CC Brie des Rivières et Châteaux,RES
265,2005,24501.71,24615.929999999997,ELEC,200070779,CC Brie des Rivières et Châteaux,TER
266,2005,4447.900000000001,4557.11,PP_CMS,200070779,CC Brie des Rivières et Châteaux,TER
267,2005,0.0,0.0,URB,200070779,CC Brie des Rivières et Châteaux,TER
268,2005,0.0,0.0,BOIS,200070779,CC Brie des Rivières et Châteaux,TER
269,2005,12800.0,13113.63,GN,200070779,CC Brie des Rivières et Châteaux,TER
270,2005,0.0,0.0,ELEC,200070779,CC Brie des Rivières et Châteaux,TRAF
271,2005,681666.51,681666.51,PP_CMS,200070779,CC Brie des Rivières et Châteaux,TRAF
272,2005,0.0,0.0,URB,200070779,CC Brie des Rivières et Châteaux,TRAF
273,2005,0.0,0.0,BOIS,200070779,CC Brie des Rivières et Châteaux,TRAF
274,2005,0.0,0.0,GN,200070779,CC Brie des Rivières et Châteaux,TRAF
275,2005,1002.78,1002.78,ELEC,200072130,CA du Pays de Meaux,AGR
276,2005,10390.55,10390.55,PP_CMS,200072130,CA du Pays de Meaux,AGR
277,2005,0.0,0.0,URB,200072130,CA du Pays de Meaux,AGR
278,2005,0.0,0.0,BOIS,200072130,CA du Pays de Meaux,AGR
279,2005,444.31,444.31,GN,200072130,CA du Pays de Meaux,AGR
280,2005,137079.72,137079.72,ELEC,200072130,CA du Pays de Meaux,IND
281,2005,25160.74,25160.74,PP_CMS,200072130,CA du Pays de Meaux,IND
282,2005,0.0,0.0,URB,200072130,CA du Pays de Meaux,IND
283,2005,0.0,0.0,BOIS,200072130,CA du Pays de Meaux,IND
284,2005,945557.8100000002,945557.8100000002,GN,200072130,CA du Pays de Meaux,IND
285,2005,242427.71,244819.75,ELEC,200072130,CA du Pays de Meaux,RES
286,2005,76907.73999999999,79050.89000000001,PP_CMS,200072130,CA du Pays de Meaux,RES
287,2005,136990.76,140556.03,URB,200072130,CA du Pays de Meaux,RES
288,2005,68583.28000000001,70874.03,BOIS,200072130,CA du Pays de Meaux,RES
289,2005,295566.27999999997,303278.5,GN,200072130,CA du Pays de Meaux,RES
290,2005,121007.81999999998,121560.70999999999,ELEC,200072130,CA du Pays de Meaux,TER
291,2005,28660.609999999997,29376.27,PP_CMS,200072130,CA du Pays de Meaux,TER
292,2005,78983.61,81098.25,URB,200072130,CA du Pays de Meaux,TER
293,2005,0.0,0.0,BOIS,200072130,CA du Pays de Meaux,TER
294,2005,152050.88,156024.15000000002,GN,200072130,CA du Pays de Meaux,TER
295,2005,0.0,0.0,ELEC,200072130,CA du Pays de Meaux,TRAF
296,2005,518836.25,518836.25,PP_CMS,200072130,CA du Pays de Meaux,TRAF
297,2005,0.0,0.0,URB,200072130,CA du Pays de Meaux,TRAF
298,2005,0.0,0.0,BOIS,200072130,CA du Pays de Meaux,TRAF
299,2005,0.0,0.0,GN,200072130,CA du Pays de Meaux,TRAF
300,2005,2529.0099999999998,2529.0099999999998,ELEC,200072346,CA du Pays de Fontainebleau,AGR
301,2005,20003.650000000005,20003.650000000005,PP_CMS,200072346,CA du Pays de Fontainebleau,AGR
302,2005,0.0,0.0,URB,200072346,CA du Pays de Fontainebleau,AGR
303,2005,0.0,0.0,BOIS,200072346,CA du Pays de Fontainebleau,AGR
304,2005,5996.29,5996.29,GN,200072346,CA du Pays de Fontainebleau,AGR
305,2005,16326.31,16326.31,ELEC,200072346,CA du Pays de Fontainebleau,IND
306,2005,3155.4999999999995,3155.4999999999995,PP_CMS,200072346,CA du Pays de Fontainebleau,IND
307,2005,0.0,0.0,URB,200072346,CA du Pays de Fontainebleau,IND
308,2005,0.0,0.0,BOIS,200072346,CA du Pays de Fontainebleau,IND
309,2005,38327.65,38327.65,GN,200072346,CA du Pays de Fontainebleau,IND
310,2005,239277.87000000002,241407.77,ELEC,200072346,CA du Pays de Fontainebleau,RES
311,2005,132082.05000000002,135864.8,PP_CMS,200072346,CA du Pays de Fontainebleau,RES
312,2005,23064.67,23651.8,URB,200072346,CA du Pays de Fontainebleau,RES
313,2005,52595.26,54351.99000000001,BOIS,200072346,CA du Pays de Fontainebleau,RES
314,2005,460258.51,472671.7700000001,GN,200072346,CA du Pays de Fontainebleau,RES
315,2005,89272.07999999999,89680.39000000001,ELEC,200072346,CA du Pays de Fontainebleau,TER
316,2005,19106.800000000003,19587.630000000005,PP_CMS,200072346,CA du Pays de Fontainebleau,TER
317,2005,2649.89,2720.83,URB,200072346,CA du Pays de Fontainebleau,TER
318,2005,0.0,0.0,BOIS,200072346,CA du Pays de Fontainebleau,TER
319,2005,109663.59000000001,112417.21,GN,200072346,CA du Pays de Fontainebleau,TER
320,2005,0.0,0.0,ELEC,200072346,CA du Pays de Fontainebleau,TRAF
321,2005,926611.0900000001,926611.0900000001,PP_CMS,200072346,CA du Pays de Fontainebleau,TRAF
322,2005,0.0,0.0,URB,200072346,CA du Pays de Fontainebleau,TRAF
323,2005,0.0,0.0,BOIS,200072346,CA du Pays de Fontainebleau,TRAF
